#t_s,Fd_N
0.297000,0.028725
0.298000,0.012171
0.299000,-0.004221
0.300000,-0.019907
0.301000,-0.034410
0.302000,-0.047324
0.303000,-0.058329
0.304000,-0.067183
0.305000,-0.073728
0.306000,-0.077883
0.307000,-0.079632
0.308000,-0.079024
0.309000,-0.076159
0.310000,-0.071180
0.311000,-0.064262
0.312000,-0.055613
0.313000,-0.045458
0.314000,-0.034042
0.315000,-0.021628
0.316000,-0.008492
0.317000,0.005074
0.318000,0.018762
0.319000,0.032247
0.320000,0.045186
0.321000,0.057220
0.322000,0.067978
0.323000,0.077079
0.324000,0.084141
0.325000,0.088792
0.326000,0.090678
0.327000,0.089481
0.328000,0.084932
0.329000,0.076827
0.330000,0.065044
0.331000,0.049554
0.332000,0.030437
0.333000,0.007888
0.334000,-0.017777
0.335000,-0.046120
0.336000,-0.076588
0.337000,-0.108524
0.338000,-0.141181
0.339000,-0.173743
0.340000,-0.205354
0.341000,-0.235143
0.342000,-0.262260
0.343000,-0.285904
0.344000,-0.305355
0.345000,-0.320010
0.346000,-0.329399
0.347000,-0.333215
0.348000,-0.331325
0.349000,-0.323778
0.350000,-0.310808
0.351000,-0.292823
0.352000,-0.270393
0.353000,-0.244226
0.354000,-0.215141
0.355000,-0.184037
0.356000,-0.151852
0.357000,-0.119530
0.358000,-0.087980
0.359000,-0.058044
0.360000,-0.030462
0.361000,-0.005847
0.362000,0.015334
0.363000,0.032775
0.364000,0.046334
0.365000,0.056031
0.366000,0.062037
0.367000,0.064655
0.368000,0.064297
0.369000,0.061458
0.370000,0.056684
0.371000,0.050539
0.372000,0.043577
0.373000,0.036309
0.374000,0.029182
0.375000,0.022557
0.376000,0.016695
0.377000,0.011751
0.378000,0.007772
0.379000,0.004702
0.380000,0.002398
0.381000,0.000642
0.382000,-0.000837
0.383000,-0.002338
0.384000,-0.004167
0.385000,-0.006612
0.386000,-0.009922
0.387000,-0.014291
0.388000,-0.019840
0.389000,-0.026610
0.390000,-0.034563
0.391000,-0.043577
0.392000,-0.053455
0.393000,-0.063941
0.394000,-0.074729
0.395000,-0.085486
0.396000,-0.095867
0.397000,-0.105536
0.398000,-0.114186
0.399000,-0.121549
0.400000,-0.127418
0.401000,-0.131645
0.402000,-0.134156
0.403000,-0.134942
0.404000,-0.134063
0.405000,-0.131634
0.406000,-0.127816
0.407000,-0.122807
0.408000,-0.116819
0.409000,-0.110072
0.410000,-0.102773
0.411000,-0.095108
0.412000,-0.087230
0.413000,-0.079254
0.414000,-0.071250
0.415000,-0.063248
0.416000,-0.055236
0.417000,-0.047170
0.418000,-0.038981
0.419000,-0.030587
0.420000,-0.021900
0.421000,-0.012842
0.422000,-0.003352
0.423000,0.006604
0.424000,0.017029
0.425000,0.027887
0.426000,0.039107
0.427000,0.050581
0.428000,0.062172
0.429000,0.073720
0.430000,0.085046
0.431000,0.095971
0.432000,0.106315
0.433000,0.115916
0.434000,0.124631
