#t_s,e_raw_um
0.312000,2.933809
0.313000,2.920853
0.314000,2.907896
0.315000,2.894940
0.316000,2.881984
0.317000,2.869028
0.318000,2.859832
0.319000,2.853842
0.320000,2.847852
0.321000,2.841863
0.322000,2.835873
0.323000,2.829883
0.324000,2.823894
0.325000,2.817904
0.326000,2.842264
0.327000,2.867209
0.328000,2.892154
0.329000,2.917098
0.330000,2.942043
0.331000,2.966988
0.332000,2.991932
0.333000,3.046199
0.334000,3.140539
0.335000,3.234879
0.336000,3.329219
0.337000,3.423560
0.338000,3.517900
0.339000,3.612240
0.340000,3.706580
0.341000,3.551329
0.342000,3.356776
0.343000,3.162222
0.344000,2.967668
0.345000,2.773114
0.346000,2.578561
0.347000,2.384007
0.348000,2.159585
0.349000,1.867221
0.350000,1.574858
0.351000,1.282494
0.352000,0.990131
0.353000,0.697767
0.354000,0.405404
0.355000,0.113040
0.356000,-0.060833
0.357000,-0.194532
0.358000,-0.328230
0.359000,-0.461929
0.360000,-0.595628
0.361000,-0.729327
0.362000,-0.863026
0.363000,-0.972279
0.364000,-0.976101
0.365000,-0.979922
0.366000,-0.983744
0.367000,-0.987565
0.368000,-0.991387
0.369000,-0.995208
0.370000,-0.999030
0.371000,-0.956145
0.372000,-0.885787
0.373000,-0.815430
0.374000,-0.745072
0.375000,-0.674714
0.376000,-0.604356
0.377000,-0.533998
0.378000,-0.467350
0.379000,-0.449199
0.380000,-0.431048
0.381000,-0.412896
0.382000,-0.394745
0.383000,-0.376593
0.384000,-0.358442
0.385000,-0.340291
0.386000,-0.315010
0.387000,-0.282947
0.388000,-0.250885
0.389000,-0.218822
0.390000,-0.186759
0.391000,-0.154696
0.392000,-0.122634
0.393000,-0.090571
0.394000,-0.099634
0.395000,-0.110685
0.396000,-0.121736
0.397000,-0.132787
0.398000,-0.143838
0.399000,-0.154888
0.400000,-0.165939
0.401000,-0.217641
0.402000,-0.331523
0.403000,-0.445405
0.404000,-0.559287
0.405000,-0.673169
0.406000,-0.787051
0.407000,-0.900933
0.408000,-1.014815
0.409000,-1.131659
0.410000,-1.249081
0.411000,-1.366502
0.412000,-1.483924
0.413000,-1.601346
0.414000,-1.718768
0.415000,-1.836189
0.416000,-1.922452
0.417000,-1.927859
0.418000,-1.933266
0.419000,-1.938673
0.420000,-1.944080
0.421000,-1.949487
0.422000,-1.954894
0.423000,-1.960301
0.424000,-1.936333
0.425000,-1.900919
0.426000,-1.865505
0.427000,-1.830091
0.428000,-1.794677
0.429000,-1.759263
0.430000,-1.723849
0.431000,-1.688435
0.432000,-1.653021
0.433000,-1.617607
0.434000,-1.582193
0.435000,-1.546779
0.436000,-1.511365
0.437000,-1.475951
0.438000,-1.440537
0.439000,-1.327543
0.440000,-1.163352
0.441000,-0.999160
0.442000,-0.834969
0.443000,-0.670777
0.444000,-0.506586
0.445000,-0.342394
0.446000,-0.179085
0.447000,-0.035016
0.448000,0.109053
0.449000,0.253122
0.450000,0.397191
0.451000,0.541260
0.452000,0.685329
0.453000,0.829398
0.454000,0.929302
0.455000,0.982360
0.456000,1.035417
0.457000,1.088475
0.458000,1.141533
0.459000,1.194590
0.460000,1.247648
0.461000,1.300706
0.462000,1.315582
0.463000,1.327438
0.464000,1.339294
0.465000,1.351149
0.466000,1.363005
0.467000,1.374861
0.468000,1.386717
0.469000,1.333745
0.470000,1.169492
0.471000,1.005239
0.472000,0.840987
0.473000,0.676734
0.474000,0.512481
0.475000,0.348228
0.476000,0.183976
0.477000,0.028602
0.478000,-0.124682
0.479000,-0.277966
0.480000,-0.431250
0.481000,-0.584534
0.482000,-0.737818
0.483000,-0.891102
0.484000,-0.972100
0.485000,-0.837340
0.486000,-0.702581
0.487000,-0.567821
0.488000,-0.433061
0.489000,-0.298302
0.490000,-0.163542
0.491000,-0.028783
0.492000,-0.049584
0.493000,-0.139500
0.494000,-0.229417
0.495000,-0.319334
0.496000,-0.409250
0.497000,-0.499167
0.498000,-0.589084
0.499000,-0.666163
0.500000,-0.660136
0.501000,-0.654109
0.502000,-0.648082
0.503000,-0.642055
0.504000,-0.636028
0.505000,-0.630001
0.506000,-0.623974
0.507000,-0.641404
0.508000,-0.676156
0.509000,-0.710907
0.510000,-0.745659
0.511000,-0.780411
0.512000,-0.815162
0.513000,-0.849914
0.514000,-0.882041
0.515000,-0.759060
0.516000,-0.636080
0.517000,-0.513099
0.518000,-0.390119
0.519000,-0.267139
0.520000,-0.144158
0.521000,-0.021178
0.522000,0.041453
0.523000,0.032682
0.524000,0.023912
0.525000,0.015142
0.526000,0.006371
0.527000,-0.002399
0.528000,-0.011170
0.529000,-0.019940
0.530000,0.104497
0.531000,0.243819
0.532000,0.383142
0.533000,0.522464
0.534000,0.661787
0.535000,0.801109
0.536000,0.940432
0.537000,0.954081
0.538000,0.724756
0.539000,0.495432
0.540000,0.266107
0.541000,0.036782
0.542000,-0.192543
0.543000,-0.421867
0.544000,-0.651192
0.545000,-0.830543
0.546000,-0.995988
0.547000,-1.161434
0.548000,-1.326880
0.549000,-1.492326
0.550000,-1.657772
0.551000,-1.823217
0.552000,-1.915294
0.553000,-1.752831
0.554000,-1.590367
0.555000,-1.427904
0.556000,-1.265440
0.557000,-1.102977
0.558000,-0.940513
0.559000,-0.778050
0.560000,-0.719259
0.561000,-0.712655
0.562000,-0.706051
0.563000,-0.699447
0.564000,-0.692843
0.565000,-0.686239
0.566000,-0.679634
0.567000,-0.667317
0.568000,-0.607109
0.569000,-0.546901
0.570000,-0.486693
0.571000,-0.426485
0.572000,-0.366277
0.573000,-0.306069
0.574000,-0.245861
0.575000,-0.136045
0.576000,0.014685
0.577000,0.165416
0.578000,0.316147
0.579000,0.466878
0.580000,0.617609
0.581000,0.768339
0.582000,0.919070
0.583000,0.853842
0.584000,0.786307
0.585000,0.718772
0.586000,0.651237
0.587000,0.583702
0.588000,0.516167
0.589000,0.448632
0.590000,0.395480
0.591000,0.361328
0.592000,0.327175
0.593000,0.293023
0.594000,0.258871
0.595000,0.224719
0.596000,0.190567
0.597000,0.156415
0.598000,0.133972
0.599000,0.113243
0.600000,0.092515
0.601000,0.071786
0.602000,0.051057
0.603000,0.030329
0.604000,0.009600
0.605000,0.015256
0.606000,0.078634
0.607000,0.142013
0.608000,0.205392
0.609000,0.268771
0.610000,0.332149
0.611000,0.395528
0.612000,0.458907
0.613000,0.217263
0.614000,-0.123300
0.615000,-0.463863
0.616000,-0.804426
0.617000,-1.144989
0.618000,-1.485551
0.619000,-1.826114
0.620000,-2.077690
0.621000,-1.965480
0.622000,-1.853270
0.623000,-1.741060
0.624000,-1.628850
0.625000,-1.516640
0.626000,-1.404430
0.627000,-1.292220
0.628000,-1.205970
0.629000,-1.134451
0.630000,-1.062932
0.631000,-0.991413
0.632000,-0.919895
0.633000,-0.848376
0.634000,-0.776857
0.635000,-0.701588
0.636000,-0.582833
0.637000,-0.464077
0.638000,-0.345321
0.639000,-0.226565
0.640000,-0.107810
0.641000,0.010946
0.642000,0.129702
0.643000,0.141597
0.644000,0.055167
0.645000,-0.031264
0.646000,-0.117694
0.647000,-0.204124
0.648000,-0.290554
0.649000,-0.376984
0.650000,-0.463414
0.651000,-0.316988
0.652000,-0.161419
0.653000,-0.005850
0.654000,0.149719
0.655000,0.305288
0.656000,0.460857
0.657000,0.616425
0.658000,0.663250
0.659000,0.549413
0.660000,0.435576
0.661000,0.321738
0.662000,0.207901
0.663000,0.094064
0.664000,-0.019773
0.665000,-0.133611
0.666000,-0.062212
0.667000,0.043149
0.668000,0.148510
0.669000,0.253870
0.670000,0.359231
0.671000,0.464592
0.672000,0.569953
0.673000,0.567824
0.674000,0.297987
0.675000,0.028150
0.676000,-0.241687
0.677000,-0.511524
0.678000,-0.781361
0.679000,-1.051198
0.680000,-1.321035
0.681000,-1.445688
0.682000,-1.516070
0.683000,-1.586453
0.684000,-1.656835
0.685000,-1.727218
0.686000,-1.797600
0.687000,-1.867983
0.688000,-1.917648
0.689000,-1.865678
0.690000,-1.813709
0.691000,-1.761739
0.692000,-1.709770
0.693000,-1.657800
0.694000,-1.605831
0.695000,-1.553861
0.696000,-1.572600
0.697000,-1.636405
0.698000,-1.700209
0.699000,-1.764013
0.700000,-1.827817
0.701000,-1.891621
0.702000,-1.955425
0.703000,-2.011912
0.704000,-1.935466
0.705000,-1.859020
0.706000,-1.782574
0.707000,-1.706128
0.708000,-1.629682
0.709000,-1.553236
0.710000,-1.476790
0.711000,-1.495114
0.712000,-1.610669
0.713000,-1.726224
0.714000,-1.841779
0.715000,-1.957334
0.716000,-2.072889
0.717000,-2.188443
0.718000,-2.303998
0.719000,-2.088904
0.720000,-1.850828
0.721000,-1.612752
0.722000,-1.374676
0.723000,-1.136601
0.724000,-0.898525
0.725000,-0.660449
0.726000,-0.532832
0.727000,-0.588192
