# trace n_full=62853 stride=5 n_written=12571
# B0_Ns_per_m=400
# K_N_per_m=5000
# bias_um=0
# case_id=ASFC_strong
# fd_scale=1
# fd_sha256=58858d990d4f36176992fea6e5590f4a8ab64bca1face89aaacc6ea25d261187
# mode=ASFC
# mu=61906.29881
# n=1.5
# n_steps_done=62853
# note=
# r_actual=4
# r_design=4
# status=OK
# v_ref_m_s=0.0006679905
# units t=s phase=code along_mm=mm y_d=m y_sim=m e_um=um e_raw_um=um b_um=um e_vib_um=um v_m_s=m/s Fd_N=N F_spring_N=N F_linear_damping_N=N F_shear_N=N F_SFC_N=N tau_1=N*m tau_2=N*m tau_3=N*m tau_4=N*m tau_5=N*m tau_6=N*m
# phase_names=start,fwd_steady,turn,ret_steady,stop
t,phase,along_mm,y_d,y_sim,e_um,e_raw_um,b_um,e_vib_um,v_m_s,Fd_N,F_spring_N,F_linear_damping_N,F_shear_N,F_SFC_N,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0.98,0,0,-0.174,-0.174001,-1.18396,-2.16135,-0.043576,-2.11777,7.91129e-05,0.244486,0.00591978,-0.0316452,-0.0435618,-0.0692872,0.048082,5.847e-08,-1.28179e-08,-1.18408e-08,0.00692872,-7.69243e-18
0.985,0,0,-0.174,-0.174001,-0.658434,-1.28525,-0.043576,-1.24167,0.000130038,0.288183,0.00329217,-0.0520151,-0.0917992,-0.140522,0.0975156,6.68625e-08,-1.46578e-08,-1.35403e-08,0.0140522,1.56011e-17
0.99,0,0,-0.174,-0.174,-0.0123841,-0.303393,-0.043576,-0.259817,0.000117269,0.200358,6.19203e-05,-0.0469078,-0.0786162,-0.125462,0.0870646,2.18982e-09,-4.80057e-10,-4.43461e-10,0.0125462,0
0.995,0,0,-0.174,-0.174,0.481079,0.359542,-0.043576,0.403118,6.63972e-05,0.0619,-0.0024054,-0.0265589,-0.0334934,-0.0624577,0.0433426,-2.09828e-08,4.5999e-09,4.24924e-09,0.00624577,-6.9342e-18
1,0,0,-0.174,-0.173999,0.693929,0.843879,-0.043576,0.887455,7.90015e-06,-0.045378,-0.00346965,-0.00316006,-0.00137464,-0.00800434,0.00555463,-3.93263e-09,8.6212e-10,7.96398e-10,0.000800434,0
1.005,0,0,-0.174,-0.173999,0.634687,1.12685,-0.043576,1.17043,-3.61547e-05,-0.091619,-0.00317343,0.0144619,0.0134581,0.0247465,-0.0171729,1.12077e-08,-2.45697e-09,-2.26967e-09,-0.00247465,-2.74741e-18
1.01,0,0,-0.174,-0.174,0.413895,0.788981,-0.043576,0.832558,-5.15219e-05,-0.099415,-0.00206948,0.0206088,0.0228941,0.0414333,-0.0287528,1.234e-08,-2.7052e-09,-2.49897e-09,-0.00414333,-4.60003e-18
1.015,0,0,-0.174,-0.174,0.14918,0.345707,-0.043576,0.389284,-5.46818e-05,-0.108203,-0.000745901,0.0218727,0.0250322,0.0461591,-0.0320322,5.08922e-09,-1.11567e-09,-1.03062e-09,-0.00461591,0
1.02,0,0,-0.174,-0.174,-0.135003,-0.186403,-0.043576,-0.142827,-6.14278e-05,-0.134642,0.000675017,0.0245711,0.0298045,0.0550507,-0.0382025,-5.01811e-09,1.10008e-09,1.01622e-09,-0.00550507,6.11185e-18
1.025,0,0,-0.174,-0.174,-0.463098,-0.711949,-0.043576,-0.668373,-7.1444e-05,-0.157035,0.00231549,0.0285776,0.0373838,0.0682768,-0.0473808,-2.20815e-08,4.84077e-09,4.47174e-09,-0.00682768,1.51605e-17
