# trace n_full=62853 stride=5 n_written=12571
# B0_Ns_per_m=400
# K_N_per_m=5000
# bias_um=0
# case_id=ASFC_medium
# fd_scale=1
# fd_sha256=58858d990d4f36176992fea6e5590f4a8ab64bca1face89aaacc6ea25d261187
# mode=ASFC
# mu=1197621.822
# n=2
# n_steps_done=62853
# note=
# r_actual=2
# r_design=2
# status=OK
# v_ref_m_s=0.0006679905
# units t=s phase=code along_mm=mm y_d=m y_sim=m e_um=um e_raw_um=um b_um=um e_vib_um=um v_m_s=m/s Fd_N=N F_spring_N=N F_linear_damping_N=N F_shear_N=N F_SFC_N=N tau_1=N*m tau_2=N*m tau_3=N*m tau_4=N*m tau_5=N*m tau_6=N*m
# phase_names=start,fwd_steady,turn,ret_steady,stop
t,phase,along_mm,y_d,y_sim,e_um,e_raw_um,b_um,e_vib_um,v_m_s,Fd_N,F_spring_N,F_linear_damping_N,F_shear_N,F_SFC_N,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0.095,0,0,-0.174,-0.174004,-4.39523,-1.55388,-0.043576,-1.5103,0.000114866,-0.621035,0.0219762,-0.0459463,-0.0158016,-0.0397717,0.0275498,1.35384e-07,-2.8307e-08,-2.69891e-08,0.00397717,-8.83109e-18
0.1,0,0,-0.174,-0.174004,-3.84824,-1.88944,-0.043576,-1.84586,0.000104458,-0.578609,0.0192412,-0.0417834,-0.0130679,-0.0356101,0.0246698,1.04906e-07,-2.19936e-08,-2.09317e-08,0.00356101,0
0.105,0,0,-0.174,-0.174003,-3.30232,-2.8946,-0.043576,-2.85102,0.000124516,-0.454154,0.0165116,-0.0498063,-0.0185681,-0.0518628,0.0359329,1.29453e-07,-2.7209e-08,-2.58511e-08,0.00518628,0
0.11,0,0,-0.174,-0.174003,-2.57824,-2.84271,-0.043576,-2.79913,0.000179499,-0.290179,0.0128912,-0.0717995,-0.0385871,-0.0974954,0.0675557,1.8786e-07,-3.95803e-08,-3.75443e-08,0.00974954,1.08242e-17
0.115,0,0,-0.174,-0.174002,-1.56888,-2.26445,-0.043576,-2.22087,0.00022887,-0.191977,0.00784441,-0.0915481,-0.0627333,-0.146437,0.101477,1.69797e-07,-3.58556e-08,-3.39595e-08,0.0146437,0
0.12,0,0,-0.174,-0.174,-0.399909,-1.02149,-0.043576,-0.977913,0.00022977,-0.21215,0.00199954,-0.0919078,-0.0632273,-0.153136,0.106128,4.29506e-08,-9.08917e-09,-8.59622e-09,0.0153136,1.70015e-17
0.125,0,0,-0.174,-0.173999,0.671026,-0.485609,-0.043576,-0.442033,0.000185208,-0.284611,-0.00335513,-0.0740832,-0.0410809,-0.118519,0.0821444,-6.24676e-08,1.3246e-08,1.25107e-08,0.0118519,0
0.13,0,0,-0.174,-0.173999,1.49455,-0.180215,-0.043576,-0.136639,0.000138673,-0.297243,-0.00747273,-0.0554694,-0.0230307,-0.0859728,0.0595913,-9.92338e-08,2.10822e-08,1.98865e-08,0.00859728,9.5449e-18
0.135,0,0,-0.174,-0.173998,2.15248,-0.031386,-0.043576,0.012191,0.000129738,-0.223167,-0.0107624,-0.0518951,-0.0201582,-0.0828157,0.0574071,-1.37207e-07,2.92018e-08,2.75126e-08,0.00828157,0
0.14,0,0,-0.174,-0.173997,2.83605,0.89343,-0.043576,0.937007,0.000147841,-0.154861,-0.0141803,-0.0591362,-0.0261762,-0.0994927,0.068972,-2.1602e-07,4.60535e-08,4.33405e-08,0.00994927,0
0.145,0,0,-0.174,-0.173996,3.5807,1.74524,-0.043576,1.78882,0.000140388,-0.196726,-0.0179035,-0.0561551,-0.0236036,-0.0976622,0.0677073,-2.66265e-07,5.68557e-08,5.34494e-08,0.00976622,1.08427e-17
0.15,0,0,-0.174,-0.173996,4.17615,1.86669,-0.043576,1.91027,7.648e-05,-0.336453,-0.0208808,-0.030592,-0.00700511,-0.0584779,0.040544,-1.85697e-07,3.97114e-08,3.72948e-08,0.00584779,0
0.155,0,0,-0.174,-0.173996,4.37298,1.49026,-0.043576,1.53384,-1.58091e-05,-0.441956,-0.0218649,0.00632365,0.00029932,-0.0152419,0.0105681,-5.09102e-08,1.09026e-08,1.02295e-08,0.00152419,1.69219e-18
0.16,0,0,-0.174,-0.173996,4.16368,1.11085,-0.043576,1.15442,-6.43341e-05,-0.392568,-0.0208184,0.0257337,0.00495681,0.00987209,-0.00684527,3.16987e-08,-6.79746e-09,-6.37209e-09,-0.000987209,0
0.165,0,0,-0.174,-0.173996,3.89166,1.17023,-0.043576,1.2138,-2.24634e-05,-0.207413,-0.0194583,0.00898534,0.000604323,-0.00986864,0.00684321,-2.98891e-08,6.41748e-09,6.01084e-09,0.000986864,0
0.17,0,0,-0.174,-0.173996,3.96437,0.973911,-0.043576,1.01749,7.23936e-05,-0.035834,-0.0198218,-0.0289574,-0.00627653,-0.0550558,0.0381791,-1.69855e-07,3.65127e-08,3.41721e-08,0.00550558,0
0.175,0,0,-0.174,-0.173996,4.47053,0.964427,-0.043576,1.008,0.000128338,-0.016991,-0.0223527,-0.0513352,-0.0197256,-0.0934134,0.0647814,-3.22223e-07,6.93439e-08,6.48503e-08,0.00934134,1.0371e-17
0.18,0,0,-0.174,-0.173995,5.08101,1.87489,-0.043576,1.91847,9.58452e-05,-0.14859,-0.0254051,-0.0383381,-0.0110017,-0.0747449,0.0518371,-2.9091e-07,6.26713e-08,5.85689e-08,0.00747449,1.65967e-17
0.185,0,0,-0.174,-0.173995,5.39088,2.31089,-0.043576,2.35446,6.19783e-06,-0.294868,-0.0269544,-0.00247913,-4.60044e-05,-0.0294796,0.0204454,-1.2157e-07,2.62159e-08,2.44837e-08,0.00294796,-3.27289e-18
0.19,0,0,-0.174,-0.173995,5.2501,2.33849,-0.043576,2.38206,-6.85402e-05,-0.323187,-0.0262505,0.0274161,0.00562614,0.00679173,-0.00471055,2.73957e-08,-5.9133e-09,-5.51913e-09,-0.000679173,0
0.195,0,0,-0.174,-0.173995,4.87233,1.5131,-0.043576,1.55668,-7.11966e-05,-0.229067,-0.0243617,0.0284786,0.00607069,0.0101877,-0.0070661,3.83978e-08,-8.2954e-09,-7.73788e-09,-0.00101877,-1.13106e-18
0.2,0,0,-0.174,-0.173995,4.60259,0.996402,-0.043576,1.03998,-2.39578e-05,-0.123669,-0.0230129,0.00958313,0.000687408,-0.0127424,0.00883834,-4.55642e-08,9.8518e-09,9.18458e-09,0.00127424,-1.41469e-18
0.205,0,0,-0.174,-0.173995,4.57205,0.741609,-0.043576,0.785185,1.32562e-05,-0.10354,-0.0228602,-0.00530248,-0.000210455,-0.0283732,0.0196807,-1.00762e-07,2.18036e-08,2.03164e-08,0.00283732,0
0.21,0,0,-0.174,-0.173995,4.641,1.04988,-0.043576,1.09346,6.38254e-06,-0.147451,-0.023205,-0.00255301,-4.87872e-05,-0.0258068,0.0179011,-9.28921e-08,2.01156e-08,1.87343e-08,0.00258068,0
0.215,0,0,-0.174,-0.173995,4.62114,0.969129,-0.043576,1.0127,-1.72708e-05,-0.152644,-0.0231057,0.0069083,0.000357225,-0.0158402,0.0109879,-5.67991e-08,1.23083e-08,1.14578e-08,0.00158402,0
0.22,0,0,-0.174,-0.173995,4.53593,0.698453,-0.043576,0.742029,-6.60452e-06,-0.064956,-0.0226797,0.00264181,5.22399e-05,-0.0199856,0.0138639,-7.04137e-08,1.52686e-08,1.42073e-08,0.00199856,-2.21885e-18
0.225,0,0,-0.174,-0.173995,4.59862,0.427777,-0.043576,0.471353,4.60936e-05,0.04987,-0.0229931,-0.0184374,-0.00254449,-0.043975,0.0305058,-1.56639e-07,3.39869e-08,3.16115e-08,0.0043975,0
0.23,0,0,-0.174,-0.173995,4.93241,1.38678,-0.043576,1.43036,8.92887e-05,0.078423,-0.0246621,-0.0357155,-0.00954801,-0.0699256,0.0485089,-2.65191e-07,5.75737e-08,5.35289e-08,0.00699256,0
0.235,0,0,-0.174,-0.173995,5.37536,2.67138,-0.043576,2.71495,7.48101e-05,-0.007177,-0.0268768,-0.029924,-0.00670254,-0.0635034,0.0440546,-2.60587e-07,5.66052e-08,5.26092e-08,0.00635034,0
0.24,0,0,-0.174,-0.173994,5.63747,1.8055,-0.043576,1.84908,1.45612e-05,-0.110648,-0.0281874,-0.0058245,-0.000253932,-0.0342658,0.0237719,-1.46977e-07,3.19432e-08,2.9678e-08,0.00342658,0
0.245,0,0,-0.174,-0.173994,5.59566,2.02874,-0.043576,2.07232,-3.3691e-05,-0.115216,-0.0279783,0.0134764,0.0013594,-0.0131425,0.00911776,-5.59741e-08,1.21711e-08,1.13043e-08,0.00131425,-1.45911e-18
0.25,0,0,-0.174,-0.173995,5.42635,2.74886,-0.043576,2.79244,-2.12015e-05,-0.013735,-0.0271317,0.00848058,0.000538333,-0.0181128,0.0125662,-7.48791e-08,1.62894e-08,1.51246e-08,0.00181128,0
0.255,0,0,-0.174,-0.173995,5.42365,2.24658,-0.043576,2.29016,3.27056e-05,0.080985,-0.0271183,-0.0130822,-0.00128104,-0.0414815,0.0287793,-1.71047e-07,3.72263e-08,3.45544e-08,0.00414815,4.60538e-18
0.26,0,0,-0.174,-0.173994,5.66552,2.57174,-0.043576,2.61532,5.98437e-05,0.056782,-0.0283276,-0.0239375,-0.004289,-0.0565541,0.039237,-2.42445e-07,5.27868e-08,4.89847e-08,0.00565541,6.27876e-18
0.265,0,0,-0.174,-0.173994,5.90853,3.34671,-0.043576,3.39028,1.8295e-05,-0.078727,-0.0295426,-0.00731801,-0.000400854,-0.0372615,0.0258522,-1.6602e-07,3.61609e-08,3.35477e-08,0.00372615,0
0.27,0,0,-0.174,-0.173994,5.83611,3.12998,-0.043576,3.17355,-6.55335e-05,-0.205897,-0.0291805,0.0262134,0.00514335,0.00217619,-0.00150987,9.58321e-09,-2.08809e-09,-1.93672e-09,-0.000217619,2.41606e-19
0.275,0,0,-0.174,-0.173995,5.37722,2.91588,-0.043576,2.95946,-0.000118146,-0.212696,-0.0268861,0.0472585,0.016717,0.0370894,-0.0257335,1.51187e-07,-3.29536e-08,-3.05577e-08,-0.00370894,0
0.28,0,0,-0.174,-0.173995,4.79734,2.6715,-0.043576,2.71507,-9.87928e-05,-0.098149,-0.0239867,0.0395171,0.0116888,0.0272193,-0.0188856,9.95699e-08,-2.17099e-08,-2.01272e-08,-0.00272193,0
0.285,0,0,-0.174,-0.173996,4.43024,1.97491,-0.043576,2.01849,-3.04342e-05,0.038726,-0.0221512,0.0121737,0.00110929,-0.00886822,0.00615311,-3.00347e-08,6.55069e-09,6.07188e-09,0.000886822,9.84571e-19
0.29,0,0,-0.174,-0.173996,4.42028,2.00355,-0.043576,2.04713,3.4467e-05,0.097994,-0.0221014,-0.0137868,-0.00142275,-0.037311,0.025888,-1.25678e-07,2.74187e-08,2.54097e-08,0.0037311,-4.14235e-18
0.295,0,0,-0.174,-0.173995,4.64807,2.59902,-0.043576,2.6426,5.0608e-05,0.059908,-0.0232404,-0.0202432,-0.00306731,-0.0465509,0.0322994,-1.63938e-07,3.57756e-08,3.31483e-08,0.00465509,5.16818e-18
