case_id,mode,n,r_design,mu,v_ref_m_s,total_rms_um,peak_abs_um,ptp_um,slow_rms_um,vib_rms_um,fwd_single_stroke_rms_um,ret_single_stroke_rms_um,start_peak_um,turn_ptp_um,stop_peak_um,suppress_vs_A0_pct,extra_vs_Alinear_pct,suppress_vib_vs_A0_pct,extra_vib_vs_Alinear_pct
A0,A0,3,0,0,nan,16.6507,102.349,192.531,11.1084,11.0711,14.6724,15.1719,102.349,117.829,29.77,0,-34.9902,0,-31.2402
Alinear,Alinear,1,0,0,0.00066799,12.3347,70.5742,141.137,8.06065,8.43575,10.9552,11.3181,70.5742,92.8811,22.5722,25.9206,0,23.8038,0
ASFC_default,ASFC,3,1,8.96436e+08,0.00066799,11.5902,68.4827,134.324,8.0738,7.03512,9.76531,10.8535,65.8417,89.0966,16.678,30.3923,6.03637,36.4551,16.6035
ASFC_medium,ASFC,2,2,1.19762e+06,0.00066799,10.835,65.6015,129.094,7.75636,6.25497,8.982,10.0677,63.4927,85.0444,14.862,34.9277,12.1588,43.5018,25.8517
ASFC_strong,ASFC,1.5,4,61906.3,0.00066799,9.65149,59.515,118.275,7.20367,5.00695,7.8164,8.89082,58.7601,76.7688,11.9722,42.0355,21.7536,54.7746,40.6461
